Image C=1,I=483
The max ELI is 17758.812500
    144  1.201   7.861  0.2510  0.030
    145  1.156   7.632  0.1265  0.057
    146  1.089   7.603  0.1010  0.069
    147  0.923  18.753  0.2137  0.074
    148  1.266  59.071  0.3705  0.158
    150  1.178  11.630  0.3834  0.029
    151  0.482   6.782  0.0716  0.058
    152  0.560  13.994  0.1633  0.057
    153  1.218  11.664  0.5161  0.022
    154  1.456   9.101  0.2842  0.034
    155  0.806  15.364  0.5047  0.024
    156  0.779   6.850  0.0000  0.217
    157  1.250  20.389  0.4008  0.050
    158  1.392  40.611  0.3975  0.106
    159  0.934   7.829  0.2127  0.031
    160  0.854   8.685  0.7050  0.010
    161  0.980   7.006  0.0000  0.249
    163  2.169  79.868  0.3697  0.281
    164  1.655  52.452  0.1943  0.306
    165  2.450 134.494  0.2153  0.862
    166  1.026  51.657  0.2962  0.156
    167  0.923   7.984  0.2206  0.031
    168  0.837   5.958  0.1676  0.029
    169  0.710   2.236  0.0000  0.068
    170  0.669   6.768  0.1388  0.035
    171  0.538   6.166  0.2486  0.016
    172  0.548   8.409  0.0796  0.069
    173  1.283  12.245  0.3284  0.037
    174  0.765   6.842  0.1639  0.032
    175  1.421   0.000  0.0000  0.000
    176  1.235  12.585  0.3659  0.034
    178  1.364   0.000  0.0000  0.000
    179  0.667  14.986  0.4309  0.025
    180  0.945  17.866  0.4179  0.037
    181  1.545   5.001  0.3614  0.015
    182  0.881   6.219  0.1896  0.027
    183  0.890   5.284  0.3702  0.012
    184  1.458 173.538  0.2387  0.774
    185  2.421 173.249  0.2377  1.000
    186  0.910  21.772  0.1603  0.114
    188  0.919   5.842  0.0000  0.201
    189  1.879  10.954  0.0566  0.234
    190  1.222  14.292  0.3199  0.044
    191  0.678  18.039  0.3939  0.033
    192  0.547   4.031  0.0000  0.107
    193  0.691   6.639  0.2204  0.022
    195  0.782  10.011  0.1050  0.074
    196  0.816   7.372  0.0474  0.124
    197  0.401  10.449  0.2024  0.029
    198  1.031   3.940  0.0000  0.144
    199  0.000   0.000  0.0000  0.000
    200  0.966  31.200  0.1526  0.177
    202  1.096  42.223  0.3409  0.114
    203  0.696   5.193  0.0000  0.156
    204  1.977   3.283  0.0000  0.166
    205  0.548   6.162  0.0000  0.164
    206  0.531   3.184  0.0000  0.083
    207  1.113   8.505  0.2304  0.034
    209  1.000  15.598  0.1768  0.078
    210  0.824   6.061  0.0000  0.198
    211  0.934  14.499  0.4957  0.025
    213  1.083  47.925  0.3278  0.134
    214  0.925   4.171  0.1858  0.019
    216  0.000   8.189  0.2287  0.000
    217  1.154  15.049  0.1731  0.082
    218  0.861  16.196  0.0503  0.263
    219  0.635   7.645  0.0428  0.126
    220  0.542   5.759  0.0880  0.042
    221  0.734   2.594  0.0000  0.080
    222  1.203   9.908  0.1921  0.050
    223  0.992  23.104  0.3482  0.058
    224  1.553  14.397  0.1333  0.119
    225  0.635   5.500  0.1399  0.028
    226  1.120  21.556  0.2429  0.083
