Image C=1,I=483
The max ELI is 770458.000000
     79  1.165  14.778  0.1728  0.034
     81  0.478   3.005  0.0000  0.141
     82  1.243  40.302  0.2814  0.038
     83  0.781   9.811  0.1026  0.043
     84  1.412   7.201  0.0000  1.000
     85  2.034  10.293  0.1840  0.037
     86  1.162  25.207  0.3685  0.013
     87  1.319   8.278  0.1734  0.022
     88  1.055  13.543  0.1926  0.023
     90  0.939   7.272  0.0699  0.083
     92  1.326  65.602  0.2924  0.060
     95  1.253  22.910  0.3610  0.013
     96  0.593   4.904  0.1905  0.005
     97  0.674   5.389  0.1464  0.010
     98  1.310  66.181  0.2371  0.091
     99  0.873  53.002  0.3222  0.026
    100  1.181  51.722  0.4915  0.015
    101  1.124   7.613  0.1593  0.020
    102  1.221   9.284  0.5443  0.002
    103  0.836   9.734  0.2100  0.011
    104  1.624   9.951  0.1828  0.029
    105  0.865  13.173  0.4639  0.003
    106  1.212   4.121  0.1851  0.009
    107  0.424   6.473  0.0962  0.018
    108  0.838  44.750  0.3864  0.015
    109  0.892  14.885  0.1914  0.021
    110  1.495   5.443  0.2825  0.006
    111  1.225   2.749  0.0000  0.331
    112  1.451  37.628  0.3777  0.023
    113  1.142   6.247  0.1524  0.018
    114  1.168  22.097  0.1930  0.041
    115  0.417   5.336  0.0000  0.219
    116  1.039   0.000  0.0000  0.000
    117  0.885  15.652  0.3735  0.006
    118  1.298  50.963  0.3507  0.032
    119  0.916  14.284  0.2530  0.012
    120  0.558  43.382  0.3139  0.015
    121  0.759  15.752  0.1468  0.033
    123  1.094   6.939  0.0245  0.747
    125  1.078  34.444  0.3907  0.014
    126  0.874  16.631  0.1535  0.037
    127  0.895  10.844  0.2376  0.010
    128  0.680   7.919  0.0875  0.042
    129  0.732   7.936  0.0807  0.053
    131  1.067   9.354  0.0461  0.279
    132  0.641   8.354  0.0000  0.526
    133  0.627  12.145  0.1884  0.013
    134  1.289  13.230  0.2162  0.022
    135  1.407  10.346  0.7104  0.002
    137  0.949   4.690  0.3366  0.002
    138  1.298  13.056  0.1829  0.030
    139  0.327   4.877  0.0960  0.010
    140  1.418  47.949  0.2676  0.056
    141  0.981  40.702  0.2565  0.036
    142  1.108  17.524  0.2986  0.013
    143  1.454   9.864  0.1802  0.026
    144  1.201   7.861  0.2510  0.009
    145  1.156   7.632  0.1265  0.033
    146  1.089   7.603  0.1010  0.048
    147  0.923  18.753  0.2137  0.022
    148  1.266  59.071  0.3705  0.032
    150  1.178  11.630  0.3834  0.006
    151  0.482   6.782  0.0716  0.038
    152  0.560  13.994  0.1633  0.017
    153  1.218  11.664  0.5161  0.003
    154  1.456   9.101  0.2842  0.010
    155  0.806  15.364  0.5047  0.003
    156  0.779   6.850  0.0000  0.525
    157  1.250  20.389  0.4008  0.009
    158  1.392  40.611  0.3975  0.021
    159  0.934   7.829  0.2127  0.010
    160  0.854   8.685  0.7050  0.001
    161  0.980   7.006  0.0000  0.675
    163  2.169  79.868  0.3697  0.075
    164  1.655  52.452  0.1943  0.136
    165  2.450 134.494  0.2153  0.421
    166  1.026  51.657  0.2962  0.036
    167  0.923   7.984  0.2206  0.009
    168  0.837   5.958  0.1676  0.011
    169  0.710   2.236  0.0000  0.156
    170  0.669   6.768  0.1388  0.014
    171  0.538   6.166  0.2486  0.003
    172  0.548   8.409  0.0796  0.043
    173  1.283  12.245  0.3284  0.009
    174  0.765   6.842  0.1639  0.012
    175  1.421   0.000  0.0000  0.000
    176  1.235  12.585  0.3659  0.007
    178  1.364   0.000  0.0000  0.000
    179  0.667  14.986  0.4309  0.003
    180  0.945  17.866  0.4179  0.006
    181  1.545   5.001  0.3614  0.004
    182  0.881   6.219  0.1896  0.009
    183  0.890   5.284  0.3702  0.002
    184  1.458 173.538  0.2387  0.263
    185  2.421 173.249  0.2377  0.440
    186  0.910  21.772  0.1603  0.046
    188  0.919   5.842  0.0000  0.528
    189  1.879  10.954  0.0566  0.381
    190  1.222  14.292  0.3199  0.010
    191  0.678  18.039  0.3939  0.005
    192  0.547   4.031  0.0000  0.217
    193  0.691   6.639  0.2204  0.006
    195  0.782  10.011  0.1050  0.042
    196  0.816   7.372  0.0474  0.158
    197  0.401  10.449  0.2024  0.006
    198  1.031   3.940  0.0000  0.400
    199  0.000   0.000  0.0000  0.000
    200  0.966  31.200  0.1526  0.077
    202  1.096  42.223  0.3409  0.024
    203  0.696   5.193  0.0000  0.355
    204  1.977   3.283  0.0000  0.638
    205  0.548   6.162  0.0000  0.332
    206  0.531   3.184  0.0000  0.166
    207  1.113   8.505  0.2304  0.011
    209  1.000  15.598  0.1768  0.030
    210  0.824   6.061  0.0000  0.491
    211  0.934  14.499  0.4957  0.003
    213  1.083  47.925  0.3278  0.029
    214  0.925   4.171  0.1858  0.007
    216  0.000   8.189  0.2287  0.000
    217  1.154  15.049  0.1731  0.034
    218  0.861  16.196  0.0503  0.326
    219  0.635   7.645  0.0428  0.157
    220  0.542   5.759  0.0880  0.024
    221  0.734   2.594  0.0000  0.187
    222  1.203   9.908  0.1921  0.019
